,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
1875,NY,Schoharie County,"31,097","5,405","6,797",332,"2,613","1,629","2,334","9,750","2,161","3,532",18
1876,NY,Schuyler County,"17,912","3,438","3,822",211,"1,472",932,"1,334","5,537",915,"2,392",10
1877,NY,Seneca County,"34,300","6,804","6,591",419,"2,801","1,672","2,356","10,263","3,848","4,000",19
1878,NY,Steuben County,"95,796","20,504","18,850","1,263","7,666","4,705","6,675","28,430","6,125","12,069",55
1879,NY,Suffolk County,"1,481,093","313,019","249,756","19,281","119,280","69,976","96,596","434,697","485,941","105,578",856
1880,NY,Sullivan County,"75,498","16,001","14,238",985,"6,063","3,669","5,164","22,360","21,717","11,834",43
1881,NY,Tioga County,"48,560","10,210","9,854",628,"3,903","2,438","3,473","14,593","2,569","4,912",28
1882,NY,Tompkins County,"102,793","15,006","14,900",924,"8,983","4,412","5,865","30,342","23,650","15,146",59
1883,NY,Ulster County,"178,599","31,517","35,328","1,941","14,987","9,034","12,727","55,158","37,688","24,389",103
1884,NY,Warren County,"64,265","11,743","14,291",723,"5,339","3,395","4,885","20,101","4,149","6,859",37
1885,NY,Washington County,"61,197","11,465","11,919",706,"5,068","3,077","4,331","18,720","4,714","6,637",35
1886,NY,Wayne County,"90,064","19,198","17,002","1,182","7,222","4,430","6,233","26,813","9,160","8,511",52
1887,NY,Westchester County,"967,612","211,912","165,008","13,053","77,133","45,070","62,459","280,383","453,925","78,572",558
1888,NY,Wyoming County,"40,085","7,575","7,188",466,"3,317","1,952","2,710","12,096","4,048","3,627",23
1889,NY,Yates County,"24,841","5,448","5,172",335,"1,971","1,217","1,748","7,317","1,309","3,014",14
1890,NC,Alamance County,"166,436","37,015","28,127","4,253","12,236","10,778","13,646","56,105","60,952","21,661",110
1891,NC,Alexander County,"37,353","7,529","7,489",865,"2,812","2,646","3,444","13,145","5,017","4,653",25
1892,NC,Alleghany County,"11,161","1,944","3,023",223,861,901,"1,241","4,178","1,518","2,060",7
1893,NC,Anson County,"24,877","4,895","4,594",562,"1,885","1,683","2,158","8,691","13,886","4,680",16
1894,NC,Ashe County,"27,109","4,783","6,967",549,"2,090","2,133","2,910","10,053","2,109","4,542",18
1895,NC,Avery County,"17,505","2,621","3,891",301,"1,399","1,302","1,718","6,543","2,021","2,542",11
1896,NC,Beaufort County,"47,079","9,475","11,281","1,088","3,524","3,515","4,762","16,830","16,168","8,429",31
1897,NC,Bertie County,"19,026","3,350","4,379",384,"1,472","1,421","1,898","6,956","12,421","4,172",12
1898,NC,Bladen County,"33,190","6,782","7,247",779,"2,482","2,398","3,185","11,720","15,010","9,542",22
