,Unnamed: 0,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
895,895,KS,Butler County,66765.0,"16,996","10,129",1297.0,4887.0,"3,453","4,562","21,001",7678.0,6184.0,37
896,896,KS,Chase County,2629.0,525,661,40.0,202.0,167,237,911,236.0,254.0,1
897,897,KS,Chautauqua County,3309.0,658,885,50.0,253.0,218,312,"1,158",474.0,553.0,1
898,898,KS,Cherokee County,20015.0,"4,610","3,863",351.0,1493.0,"1,164","1,586","6,618",2468.0,3246.0,11
899,899,KS,Cheyenne County,2660.0,567,717,43.0,200.0,171,246,911,261.0,322.0,1
900,900,KS,Clark County,2005.0,483,440,36.0,147.0,115,161,652,320.0,254.0,1
901,901,KS,Clay County,7997.0,"1,883","1,838",143.0,589.0,478,672,"2,639",486.0,839.0,4
902,902,KS,Cloud County,8729.0,"1,952","1,885",149.0,657.0,511,710,"2,902",640.0,1320.0,4
903,903,KS,Coffey County,8233.0,"1,796","1,766",137.0,621.0,498,689,"2,778",576.0,868.0,4
904,904,KS,Comanche County,1748.0,415,447,31.0,127.0,109,156,581,195.0,186.0,0
905,905,KS,Cowley County,35218.0,"8,319","6,420",635.0,2631.0,"1,920","2,605","11,395",7328.0,5109.0,19
906,906,KS,Crawford County,39019.0,"8,490","6,055",648.0,3031.0,"1,961","2,592","12,644",5302.0,6547.0,22
907,907,KS,Decatur County,2871.0,558,808,42.0,220.0,195,280,"1,015",178.0,378.0,1
908,908,KS,Dickinson County,18717.0,"4,439","3,698",338.0,1385.0,"1,075","1,474","6,123",1775.0,2006.0,10
909,909,KS,Doniphan County,7682.0,"1,626","1,502",124.0,590.0,440,600,"2,575",751.0,955.0,4
910,910,KS,Douglas County,121436.0,"22,089","14,954",1686.0,10021.0,"5,609","7,115","40,143",26320.0,19181.0,68
911,911,KS,Edwards County,2849.0,665,606,50.0,210.0,171,237,946,684.0,317.0,1
912,912,KS,Elk County,2508.0,543,729,41.0,185.0,172,250,872,257.0,434.0,1
913,913,KS,Ellis County,28710.0,"6,198","4,416",473.0,2238.0,"1,431","1,889","9,303",3061.0,3303.0,16
914,914,KS,Ellsworth County,6196.0,"1,137","1,297",86.0,492.0,371,509,"2,154",879.0,622.0,3
915,915,KS,Finney County,36611.0,"11,038","4,034",842.0,2549.0,"1,586","2,022","10,547",21825.0,4740.0,20
916,916,KS,Ford County,33888.0,"10,213","3,792",779.0,2356.0,"1,487","1,899","9,791",20563.0,3818.0,19
917,917,KS,Franklin County,25631.0,"6,090","4,262",464.0,1909.0,"1,402","1,870","8,305",2300.0,2337.0,14
918,918,KS,Geary County,32594.0,"10,029","2,818",765.0,2309.0,"1,112","1,371","8,889",14322.0,3263.0,18
919,919,KS,Gove County,2612.0,626,635,47.0,190.0,159,226,862,142.0,291.0,1
920,920,KS,Graham County,2492.0,484,684,36.0,191.0,167,240,880,303.0,307.0,1
921,921,KS,Grant County,7336.0,"2,257","1,003",172.0,500.0,344,452,"2,131",3693.0,788.0,4
922,922,KS,Gray County,6033.0,"1,749",910,133.0,421.0,296,394,"1,804",1136.0,447.0,3
923,923,KS,Greeley County,1227.0,319,254,24.0,88.0,68,95,389,264.0,135.0,0
924,924,KS,Greenwood County,6055.0,"1,317","1,509",100.0,452.0,391,553,"2,074",520.0,861.0,3
925,925,KS,Hamilton County,2607.0,749,365,57.0,183.0,125,165,779,1024.0,365.0,1
926,926,KS,Harper County,5506.0,"1,372","1,267",104.0,398.0,326,460,"1,788",571.0,766.0,3
927,927,KS,Harvey County,34210.0,"8,242","6,682",629.0,2531.0,"1,896","2,604","11,046",5988.0,3411.0,19
928,928,KS,Haskell County,3997.0,"1,125",591,85.0,282.0,198,263,"1,211",1365.0,413.0,2
929,929,KS,Hodgeman County,1818.0,413,436,31.0,134.0,114,161,613,233.0,210.0,1
930,930,KS,Jackson County,13280.0,"3,308","2,530",252.0,966.0,753,"1,029","4,283",2148.0,1375.0,7
931,931,KS,Jefferson County,18975.0,"4,328","3,538",330.0,1419.0,"1,108","1,499","6,301",1252.0,1411.0,10
932,932,KS,Jewell County,2841.0,539,856,41.0,218.0,199,289,"1,016",142.0,420.0,1
933,933,KS,Johnson County,597555.0,"145,643","86,723",11120.0,44566.0,"30,438","39,885","189,480",121136.0,32334.0,336
934,934,KS,Kearny County,3943.0,"1,142",612,87.0,275.0,191,256,"1,175",1455.0,478.0,2
935,935,KS,Kingman County,7310.0,"1,604","1,585",122.0,550.0,447,618,"2,469",530.0,786.0,4
936,936,KS,Kiowa County,2516.0,574,552,43.0,188.0,147,205,832,287.0,286.0,1
937,937,KS,Labette County,19964.0,"4,792","3,812",365.0,1472.0,"1,139","1,554","6,507",2916.0,3129.0,11
938,938,KS,Lane County,1560.0,345,367,26.0,116.0,98,138,530,193.0,159.0,0
939,939,KS,Leavenworth County,81352.0,"19,284","11,779",1472.0,6125.0,"4,159","5,441","25,996",17116.0,7925.0,46
940,940,KS,Lincoln County,3023.0,679,739,51.0,224.0,192,272,"1,025",198.0,375.0,1
941,941,KS,Linn County,9750.0,"2,189","2,180",167.0,728.0,595,830,"3,274",654.0,1244.0,5
942,942,KS,Logan County,2844.0,685,592,52.0,209.0,162,225,924,273.0,253.0,1
943,943,KS,Lyon County,33406.0,"7,439","5,075",567.0,2577.0,"1,670","2,202","10,761",9790.0,5142.0,18
944,944,KS,McPherson County,28537.0,"6,538","5,660",499.0,2141.0,"1,622","2,226","9,383",2393.0,2881.0,16
945,945,KS,Marion County,11950.0,"2,532","2,783",193.0,907.0,738,"1,034","4,070",913.0,1075.0,6
946,946,KS,Marshall County,9722.0,"2,317","2,112",176.0,714.0,578,804,"3,199",536.0,1068.0,5
947,947,KS,Meade County,4146.0,"1,061",799,81.0,299.0,231,317,"1,321",905.0,376.0,2
