CD #,County,County Pop. in CD,% of CD in County
1,Cumberland,281674,0.424
1,Kennebec,75889,0.114
1,Knox,39736,0.06
1,Lincoln,34457,0.052
1,Sagadahoc,35293,0.053
1,York,197131,0.297
2,Androscoggin,107702,0.162
2,Aroostook,71870,0.108
2,Franklin,30768,0.046
2,Hancock,54418,0.082
2,Kennebec,46262,0.07
2,Oxford,57833,0.087
2,Penobscot,153923,0.232
2,Piscataquis,17535,0.026
2,Somerset,52228,0.079
2,Waldo,38786,0.058
2,Washington,32856,0.049
