CD #,County,County Pop. in CD,% of CD in County
1,Honolulu,680496,1
2,Hawaii,185079,0.272
2,Honolulu,272711,0.401
2,Kalawao,90,0
2,Kauai,67091,0.099
2,Maui,154834,0.228
