CD #,County,County Pop. in CD,% of CD in County
1,Hartford,647876,0.906
1,Litchfield,38914,0.054
1,Middlesex,28030,0.039
2,Hartford,68674,0.096
2,Middlesex,82702,0.116
2,New Haven,18269,0.026
2,New London,274055,0.383
2,Tolland,152691,0.214
2,Windham,118428,0.166
3,Fairfield,53742,0.075
3,Middlesex,54944,0.077
3,New Haven,606133,0.848
4,Fairfield,702136,0.982
4,New Haven,12683,0.018
5,Fairfield,160951,0.225
5,Hartford,177464,0.248
5,Litchfield,151013,0.211
5,New Haven,225392,0.315
