CD #,County,County Pop. in CD,% of CD in County
1,Bristol,49875,0.095
1,Newport,82888,0.157
1,Providence,393520,0.748
2,Kent,166158,0.316
2,Providence,233147,0.443
2,Washington,126979,0.241
