HD #,County,County Pop. in HD,% of HD in County
101,Lamar,23180,1
102,Forrest,21317,0.914
102,Lamar,2008,0.086
103,Forrest,24251,1
104,Forrest,23112,1
105,George,2474,0.098
105,Greene,13003,0.513
105,Perry,9885,0.39
106,Lamar,3583,0.141
106,Pearl River,21827,0.859
107,George,15014,0.628
107,Stone,8907,0.372
108,Pearl River,25464,1
109,George,5090,0.213
109,Jackson,18767,0.787
110,Jackson,23238,1
111,Jackson,25479,1
112,Jackson,23944,1
113,Jackson,24572,1
114,Harrison,469,0.019
114,Jackson,23668,0.981
115,Harrison,25295,1
116,Harrison,25024,1
117,Harrison,25448,1
118,Harrison,24956,1
119,Harrison,23836,1
120,Harrison,25246,1
121,Harrison,24427,1
122,Hancock,23609,1
