HD #,County,County Pop. in HD,% of HD in County
164,Delaware,61023,1
165,Delaware,63806,1
166,Delaware,51995,0.84
166,Montgomery,9883,0.16
167,Chester,62591,1
168,Delaware,61472,1
169,York,62846,1
170,Philadelphia,64723,1
171,Centre,50299,0.776
171,Mifflin,14513,0.224
172,Montgomery,2543,0.04
172,Philadelphia,60985,0.96
173,Philadelphia,64506,1
174,Philadelphia,62030,1
175,Philadelphia,60162,1
176,Monroe,64551,1
177,Philadelphia,64682,1
178,Bucks,62131,1
179,Philadelphia,64687,1
180,Philadelphia,61423,1
181,Philadelphia,60446,1
182,Philadelphia,60646,1
183,Lehigh,26877,0.442
183,Northampton,33890,0.558
184,Philadelphia,61487,1
185,Delaware,11714,0.187
185,Philadelphia,50838,0.813
186,Philadelphia,61186,1
187,Berks,13421,0.21
187,Lehigh,50507,0.79
188,Philadelphia,60761,1
189,Monroe,44047,0.704
189,Pike,18544,0.296
190,Philadelphia,62703,1
191,Delaware,17547,0.284
191,Philadelphia,44153,0.716
192,Philadelphia,61656,1
193,Adams,37486,0.614
193,Cumberland,23609,0.386
194,Montgomery,9418,0.154
194,Philadelphia,51882,0.846
195,Philadelphia,62870,1
196,York,62068,1
197,Philadelphia,64621,1
198,Philadelphia,62075,1
199,Cumberland,62325,1
200,Philadelphia,62294,1
201,Philadelphia,60407,1
202,Philadelphia,64737,1
203,Philadelphia,64987,1
