HD #,County,County Pop. in HD,% of HD in County
53A,Ramsey,12375,0.312
53A,Washington,27273,0.688
53B,Washington,39541,1
54A,Dakota,8146,0.205
54A,Washington,31595,0.795
54B,Dakota,23122,0.582
54B,Washington,16620,0.418
55A,Scott,39368,1
55B,Scott,39435,1
56A,Dakota,12729,0.321
56A,Scott,26911,0.679
56B,Dakota,39728,1
57A,Dakota,39343,1
57B,Dakota,39831,1
58A,Dakota,39504,1
58B,Dakota,37852,0.951
58B,Goodhue,1936,0.049
59A,Hennepin,39653,1
59B,Hennepin,39622,1
60A,Hennepin,39625,1
60B,Hennepin,39575,1
61A,Hennepin,39635,1
61B,Hennepin,39454,1
62A,Hennepin,39496,1
62B,Hennepin,39729,1
63A,Hennepin,39667,1
63B,Hennepin,39504,1
64A,Ramsey,39630,1
64B,Ramsey,39670,1
65A,Ramsey,39531,1
65B,Ramsey,39412,1
66A,Ramsey,39435,1
66B,Ramsey,39440,1
67A,Ramsey,39453,1
67B,Ramsey,39746,1
