AD #,County,County Pop. in AD,% of AD in County
93,Dunn,4117,0.072
93,Eau Claire,18745,0.326
93,Pepin,7469,0.13
93,Pierce,26897,0.467
93,St. Croix,6,0
94,La Crosse,57265,1
95,La Crosse,57373,1
96,Crawford,16644,0.29
96,Monroe,11874,0.207
96,Vernon,28926,0.504
97,Waukesha,57279,1
98,Waukesha,57515,1
99,Waukesha,57477,1
