County,HD #,HD Pop. in County,% of County in HD
Chesapeake city,76,2322,0.010449622
Chesapeake city,77,79810,0.35916637
Chesapeake city,78,80703,0.36318511
Chesapeake city,79,19624,0.088313255
Chesapeake city,81,34720,0.156249297
Colonial Heights city,66,17411,1
Covington city,19,5961,1
Danville city,14,43055,1
Emporia city,75,5927,1
Fairfax city,37,22565,1
Falls Church city,53,12332,1
Franklin city,75,8582,1
Fredericksburg city,28,8950,0.368525076
Fredericksburg city,88,15336,0.631474924
Galax city,5,7042,1
Hampton city,91,57957,0.421701738
Hampton city,92,79479,0.578298262
Harrisonburg city,26,48914,1
Hopewell city,62,22591,1
Lexington city,24,7042,1
Lynchburg city,22,23864,0.315795046
Lynchburg city,23,51704,0.684204954
Manassas city,50,37821,1
Manassas Park city,13,14273,1
Martinsville city,16,13821,1
Newport News city,93,21884,0.121094074
Newport News city,94,79461,0.439693668
Newport News city,95,79374,0.439212258
Norfolk city,79,24797,0.102128063
Norfolk city,83,4150,0.017092046
Norfolk city,89,99760,0.41086807
Norfolk city,90,79612,0.327887217
Norfolk city,100,34484,0.142024604
Norton city,1,3958,1
Petersburg city,63,32420,1
Poquoson city,91,12150,1
Portsmouth city,79,16195,0.169519024
Portsmouth city,80,79340,0.830480976
Radford city,12,16408,1
Richmond city,68,34936,0.17107544
Richmond city,69,79318,0.38840628
Richmond city,70,10040,0.049164112
Richmond city,71,79920,0.391354168
Roanoke city,11,80132,0.825805122
Roanoke city,17,16900,0.174163961
Salem city,8,24802,1
Staunton city,20,23746,1
Suffolk city,64,7112,0.084081102
Suffolk city,76,77473,0.915918898
Virginia Beach city,21,74578,0.170271739
Virginia Beach city,81,45230,0.103266255
Virginia Beach city,82,80463,0.183707996
Virginia Beach city,83,76655,0.175013813
Virginia Beach city,84,80281,0.183292465
Virginia Beach city,85,80787,0.184447732
Waynesboro city,20,21006,1
Williamsburg city,93,14068,1
Winchester city,29,26203,1
