County,HD #,HD Pop. in County,% of County in HD
Newton,19,14445,1
Nolan,71,15216,1
Nueces,32,167074,0.491
Nueces,34,173149,0.509
Ochiltree,88,10223,1
Oldham,86,2052,1
Orange,21,81837,1
Palo Pinto,60,28111,1
Panola,9,23796,1
Parker,61,116927,1
Parmer,86,10269,1
Pecos,74,15507,1
Polk,19,45413,1
Potter,87,121073,1
Presidio,74,7818,1
Rains,5,10914,1
Randall,86,120725,1
Reagan,72,3367,1
Real,53,3309,1
Red River,1,12860,1
Reeves,74,13783,1
Refugio,30,7383,1
Roberts,88,929,1
Robertson,12,16622,1
Rockwall,33,78337,1
Runnels,72,10501,1
Rusk,11,53330,1
Sabine,9,10834,1
San Augustine,57,8865,1
San Jacinto,18,26384,1
San Patricio,43,64804,1
San Saba,59,6131,1
Schleicher,53,3461,1
Scurry,83,16921,1
Shackelford,60,3378,1
Shelby,9,25448,1
Sherman,87,3034,1
Smith,5,49706,0.237
Smith,6,160008,0.763
Somervell,59,8490,1
Starr,31,60968,1
Stephens,60,9630,1
Sterling,72,1143,1
Stonewall,68,1490,1
Sutton,53,4128,1
Swisher,88,7854,1
Tarrant,90,159684,0.088
Tarrant,91,162838,0.09
Tarrant,92,162326,0.09
Tarrant,93,162216,0.09
Tarrant,94,167374,0.093
Tarrant,95,161634,0.089
Tarrant,96,164930,0.091
Tarrant,97,168869,0.093
Tarrant,98,164081,0.091
Tarrant,99,170418,0.094
Tarrant,101,164664,0.091
Taylor,71,131506,1
Terrell,74,984,1
Terry,83,12651,1
Throckmorton,68,1641,1
Titus,5,32334,1
Tom Green,72,110224,1
Travis,46,166447,0.163
Travis,47,175314,0.171
Travis,48,173008,0.169
Travis,49,167309,0.163
Travis,50,166516,0.163
Travis,51,175672,0.172
Trinity,57,14585,1
Tyler,19,21766,1
Upshur,7,39309,1
Upton,82,3355,1
Uvalde,80,26405,1
Val Verde,74,48879,1
Van Zandt,2,52579,1
Victoria,30,86793,1
Walker,18,67861,1
Waller,3,43205,1
Ward,81,10658,1
Washington,13,33718,1
Webb,42,167668,0.67
Webb,80,82636,0.33
Wharton,85,41280,1
Wheeler,68,5410,1
Wichita,69,131500,1
Wilbarger,68,13535,1
Willacy,31,22134,1
Williamson,20,92308,0.218
Williamson,47,2,0
Williamson,52,165994,0.393
Williamson,136,164375,0.389
Wilson,44,42918,1
Winkler,81,7110,1
Wise,61,59127,1
Wood,5,41964,1
Yoakum,88,7879,1
Young,68,18550,1
Zapata,80,14018,1
Zavala,80,11677,1
