County,HD #,HD Pop. in County,% of County in HD
Belknap,Belknap 01,3259,0.054
Belknap,Belknap 02,13357,0.222
Belknap,Belknap 03,15950,0.265
Belknap,Belknap 04,6533,0.109
Belknap,Belknap 05,9019,0.15
Belknap,Belknap 06,7367,0.123
Belknap,Belknap 07,4601,0.077
Belknap,Belknap 08 (F),13620,0.227
Belknap,Belknap 09 (F),23317,0.388
Carroll,Carroll 01,3645,0.076
Carroll,Carroll 02,10959,0.229
Carroll,Carroll 03,7588,0.159
Carroll,Carroll 04,7753,0.162
Carroll,Carroll 05,11604,0.243
Carroll,Carroll 06,6269,0.131
Carroll,Carroll 07 (F),22192,0.464
Carroll,Carroll 08 (F),19357,0.405
Cheshire,Cheshire 01,13258,0.172
Cheshire,Cheshire 02,3415,0.044
Cheshire,Cheshire 03,3451,0.045
Cheshire,Cheshire 04,4810,0.062
Cheshire,Cheshire 05,4699,0.061
Cheshire,Cheshire 06,4677,0.061
Cheshire,Cheshire 07,4616,0.06
Cheshire,Cheshire 08,4622,0.06
Cheshire,Cheshire 09,8249,0.107
Cheshire,Cheshire 10,4208,0.055
Cheshire,Cheshire 11,8405,0.109
Cheshire,Cheshire 12,8366,0.108
Cheshire,Cheshire 13,4341,0.056
Cheshire,Cheshire 14 (F),16654,0.216
Cheshire,Cheshire 15 (F),16915,0.219
Cheshire,Cheshire 16 (F),23424,0.304
Coos,Coos 01,6314,0.191
Coos,Coos 02,4485,0.136
Coos,Coos 03,10051,0.304
Coos,Coos 04,4476,0.135
Coos,Coos 05,4496,0.136
Coos,Coos 06,3233,0.098
Coos,Coos 07 (F),13457,0.407
Grafton,Grafton 01,8454,0.095
Grafton,Grafton 02,4583,0.051
Grafton,Grafton 03,5041,0.057
Grafton,Grafton 04,4697,0.053
Grafton,Grafton 05,3283,0.037
Grafton,Grafton 06,4977,0.056
Grafton,Grafton 07,3333,0.037
Grafton,Grafton 08,9709,0.109
Grafton,Grafton 09,9157,0.103
Grafton,Grafton 10,4582,0.051
Grafton,Grafton 11,5175,0.058
Grafton,Grafton 12,12976,0.146
Grafton,Grafton 13,13151,0.148
Grafton,Grafton 14 (F),13037,0.146
Grafton,Grafton 15 (F),9738,0.109
Grafton,Grafton 16 (F),10152,0.114
Grafton,Grafton 17 (F),13739,0.154
Hillsborough,Hillsborough 01,8864,0.022
Hillsborough,Hillsborough 02,10705,0.027
Hillsborough,Hillsborough 03,4879,0.012
Hillsborough,Hillsborough 04,9027,0.023
Hillsborough,Hillsborough 05,7730,0.019
Hillsborough,Hillsborough 06,17651,0.044
Hillsborough,Hillsborough 07,21203,0.053
Hillsborough,Hillsborough 08,9121,0.023
Hillsborough,Hillsborough 09,9219,0.023
Hillsborough,Hillsborough 10,9113,0.023
Hillsborough,Hillsborough 11,9115,0.023
Hillsborough,Hillsborough 12,9253,0.023
Hillsborough,Hillsborough 13,9260,0.023
Hillsborough,Hillsborough 14,9175,0.023
Hillsborough,Hillsborough 15,9135,0.023
Hillsborough,Hillsborough 16,9169,0.023
Hillsborough,Hillsborough 17,9012,0.022
Hillsborough,Hillsborough 18,8991,0.022
Hillsborough,Hillsborough 19,9002,0.022
Hillsborough,Hillsborough 20,8272,0.021
Hillsborough,Hillsborough 21,25490,0.064
Hillsborough,Hillsborough 22,11205,0.028
Hillsborough,Hillsborough 23,15115,0.038
Hillsborough,Hillsborough 24,6284,0.016
Hillsborough,Hillsborough 25,6817,0.017
Hillsborough,Hillsborough 26,6373,0.016
Hillsborough,Hillsborough 27,7684,0.019
Hillsborough,Hillsborough 28,9773,0.024
Hillsborough,Hillsborough 29,9477,0.024
Hillsborough,Hillsborough 30,9448,0.024
Hillsborough,Hillsborough 31,9718,0.024
Hillsborough,Hillsborough 32,9605,0.024
Hillsborough,Hillsborough 33,9614,0.024
Hillsborough,Hillsborough 34,9637,0.024
Hillsborough,Hillsborough 35,9661,0.024
Hillsborough,Hillsborough 36,9561,0.024
Hillsborough,Hillsborough 37,37363,0.093
Hillsborough,Hillsborough 38 (F),22770,0.057
Hillsborough,Hillsborough 39 (F),28356,0.071
Hillsborough,Hillsborough 40 (F),30529,0.076
Hillsborough,Hillsborough 41 (F),32408,0.081
Hillsborough,Hillsborough 42 (F),27453,0.069
Hillsborough,Hillsborough 43 (F),36803,0.092
Hillsborough,Hillsborough 44 (F),26576,0.066
Hillsborough,Hillsborough 45 (F),27005,0.067
Merrimack,Merrimack 01,4917,0.034
Merrimack,Merrimack 02,6635,0.045
Merrimack,Merrimack 03,7757,0.053
Merrimack,Merrimack 04,3195,0.022
Merrimack,Merrimack 05,6469,0.044
Merrimack,Merrimack 06,6486,0.044
Merrimack,Merrimack 07,4705,0.032
Merrimack,Merrimack 08,3965,0.027
Merrimack,Merrimack 09,7633,0.052
Merrimack,Merrimack 10,9666,0.066
Merrimack,Merrimack 11,4465,0.03
Merrimack,Merrimack 12,4381,0.03
Merrimack,Merrimack 13,4328,0.03
Merrimack,Merrimack 14,4137,0.028
Merrimack,Merrimack 15,4165,0.028
Merrimack,Merrimack 16,4251,0.029
Merrimack,Merrimack 17,4141,0.028
Merrimack,Merrimack 18,4342,0.03
Merrimack,Merrimack 19,4408,0.03
Merrimack,Merrimack 20,9677,0.066
Merrimack,Merrimack 21,8672,0.059
Merrimack,Merrimack 22,4322,0.03
Merrimack,Merrimack 23,10277,0.07
Merrimack,Merrimack 24,13451,0.092
Merrimack,Merrimack 25 (F),9622,0.066
Merrimack,Merrimack 26 (F),19355,0.132
Merrimack,Merrimack 27 (F),25727,0.176
Merrimack,Merrimack 28 (F),12891,0.088
Merrimack,Merrimack 29 (F),12994,0.089
Rockingham,Rockingham 01,4241,0.014
Rockingham,Rockingham 02,12974,0.044
Rockingham,Rockingham 03,10134,0.034
Rockingham,Rockingham 04,15707,0.053
Rockingham,Rockingham 05,24101,0.082
Rockingham,Rockingham 06,33135,0.112
Rockingham,Rockingham 07,13592,0.046
Rockingham,Rockingham 08,28776,0.097
Rockingham,Rockingham 09,6411,0.022
Rockingham,Rockingham 10,4287,0.015
Rockingham,Rockingham 11,4492,0.015
Rockingham,Rockingham 12,4387,0.015
Rockingham,Rockingham 13,14542,0.049
Rockingham,Rockingham 14,14362,0.049
Rockingham,Rockingham 15,4603,0.016
Rockingham,Rockingham 16,5295,0.018
Rockingham,Rockingham 17,10616,0.036
Rockingham,Rockingham 18,14306,0.048
Rockingham,Rockingham 19,7255,0.025
Rockingham,Rockingham 20,10929,0.037
Rockingham,Rockingham 21,15430,0.052
Rockingham,Rockingham 22,4301,0.015
Rockingham,Rockingham 23,4302,0.015
Rockingham,Rockingham 24,6266,0.021
Rockingham,Rockingham 25,3803,0.013
Rockingham,Rockingham 26,4321,0.015
Rockingham,Rockingham 27,4296,0.015
Rockingham,Rockingham 28,4214,0.014
Rockingham,Rockingham 29,4145,0.014
Rockingham,Rockingham 30 (F),16483,0.056
