County,HD #,HD Pop. in County,% of County in HD
Warren,94,15196,0.858
Washington,108,11300,0.768
Washington,115,3416,0.232
Wayne,109,16760,1
White,109,14665,1
Whiteside,71,56413,0.964
Whiteside,89,2085,0.036
Will,29,22999,0.034
Will,34,12468,0.018
Will,37,83135,0.123
Will,38,9611,0.014
Will,41,33818,0.05
Will,75,21103,0.031
Will,79,5251,0.008
Will,80,43578,0.064
Will,81,3585,0.005
Will,82,26177,0.039
Will,84,21151,0.031
Will,85,91339,0.135
Will,86,108734,0.16
Will,97,85903,0.127
Will,98,108708,0.16
Williamson,117,66357,1
Winnebago,67,108724,0.368
Winnebago,68,108745,0.368
Winnebago,69,61890,0.21
Winnebago,89,15907,0.054
Woodford,73,18917,0.489
Woodford,106,19747,0.511
