County,CD #,CD Pop. in County,% of County in CD
Addison,at large,36821,1
Bennington,at large,37125,1
Caledonia,at large,31227,1
Chittenden,at large,156545,1
Essex,at large,6306,1
Franklin,at large,47746,1
Grand Isle,at large,6970,1
Lamoille,at large,24475,1
Orange,at large,28936,1
Orleans,at large,27231,1
Rutland,at large,61642,1
Washington,at large,59534,1
Windham,at large,44513,1
Windsor,at large,56670,1
